name;+;-;*;/;for;while;print;%;^;try:;if; break;==
Binarni cislo ; 1;1;1;0;1;0;0;0;0;0;1;0;1
Binarni zapis ; 0;0;0;0;0;0;1;1;0;0;1;0;1
Ciferny soucet ; 1;0;0;1;0;1;0;0;0;0;1;0;0
Cik-cak ; 1;0;0;0;1;0;1;1;0;0;1;0;1
Ctverec ; 1;1;1;0;1;0;1;0;0;0;0;0;0
Delitele ; 0;0;0;0;1;0;1;1;0;0;1;0;1
Dvojnasobek ; 1;0;0;0;1;0;1;1;0;0;1;0;1
Faktorial ; 0;1;1;0;0;0;0;0;0;0;1;0;1
Fibonacciho posloupnost ; 1;1;0;0;1;0;1;0;0;0;0;0;0
Mocniny dvojky ; 1;0;1;0;1;0;1;0;0;0;0;0;0
Nejdelsi slovo ; 1;1;0;0;1;0;0;0;0;0;1;0;0
Nejvetsi spolecny delitel ; 1;0;0;0;1;0;0;1;0;0;1;0;1
Palindrom ; 0;1;0;1;1;0;0;0;0;0;1;0;0
Pascaluv trojuhelnik ; 1;1;1;1;1;0;0;0;0;0;0;0;0
Pocet delitelu ; 0;0;0;0;1;0;0;1;0;0;1;0;1
Prvni pismena ; 1;1;0;0;1;0;0;0;0;0;1;0;1
Sachovnice ; 0;0;0;0;1;0;1;1;0;0;1;0;1
Soucet ; 1;1;0;0;0;0;0;0;0;0;1;0;1
Suda cisla ; 0;0;0;0;1;0;1;1;0;0;1;0;1
Tajna posloupnost ; 1;0;0;0;1;0;1;0;0;0;1;0;0
Trojuhelnik ; 0;1;1;0;1;0;1;0;0;0;0;0;0
Velke X ; 1;1;0;0;1;0;1;0;0;0;1;0;1
Vypis prvocisel ; 1;0;0;0;1;1;1;1;0;0;1;0;1
